,Unnamed: 0,ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
21747,31587,12314512,JE168139,02/28/2021 12:00:00 AM,011XX W BRYN MAWR AVE,1130,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,OTHER (SPECIFY),False,False,2023,20,48.0,77,11,1167634.0,1937352.0,2021,03/16/2021 04:50:22 PM,41.983644399,-87.658837346,"(41.983644399, -87.658837346)"
9174,13450,12284188,JE130153,01/21/2021 05:28:00 PM,026XX N KEELER AVE,0890,THEFT,FROM BUILDING,FACTORY / MANUFACTURING BUILDING,False,False,2524,25,31.0,20,06,1147931.0,1917431.0,2021,02/04/2021 03:49:24 PM,41.92938253,-87.73181619299999,"(41.92938253, -87.731816193)"
30414,44234,12331406,JE188589,04/03/2021 04:30:00 PM,093XX S EGGLESTON AVE,0430,BATTERY,AGGRAVATED - OTHER DANGEROUS WEAPON,STREET,False,False,2223,22,21.0,73,04B,1174930.0,1842998.0,2021,04/10/2021 05:05:58 PM,41.724569325,-87.634827069,"(41.724569325, -87.634827069)"
7048,10481,12279397,JE124423,01/12/2021 12:00:00 AM,091XX S ELLIS AVE,1154,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,RESIDENCE,False,False,413,4,8.0,47,11,1184483.0,1844552.0,2021,01/29/2021 03:44:00 PM,41.728615637,-87.59978634299999,"(41.728615637, -87.599786343)"
9828,14344,12283587,JE128876,01/30/2021 01:30:00 PM,014XX S UNION AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False,1232,12,11.0,28,14,1171771.0,1893083.0,2021,02/06/2021 03:52:06 PM,41.8620778,-87.644929335,"(41.8620778, -87.644929335)"
10933,15877,12285578,JE131961,02/03/2021 05:30:00 PM,034XX W ADAMS ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False,1123,11,28.0,27,14,1153415.0,1898859.0,2021,02/10/2021 03:49:30 PM,41.878311899,-87.71215816,"(41.878311899, -87.71215816)"
6096,9112,12273603,JE117564,01/19/2021 09:25:00 PM,010XX W ADDISON ST,0460,BATTERY,SIMPLE,SMALL RETAIL STORE,False,False,1924,19,44.0,6,08B,1168656.0,1924088.0,2021,01/26/2021 03:51:22 PM,41.947225408,-87.655464575,"(41.947225408, -87.655464575)"
19060,27605,12305201,JE156944,03/01/2021 12:00:00 AM,059XX S JUSTINE ST,1154,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,RESIDENCE,False,False,713,7,16.0,67,11,1167024.0,1865373.0,2021,03/08/2021 03:55:51 PM,41.786141797,-87.66314822,"(41.786141797, -87.66314822)"
31033,45160,12332612,JE190132,04/05/2021 10:00:00 AM,086XX S ADA ST,1156,DECEPTIVE PRACTICE,ATTEMPT - FINANCIAL IDENTITY THEFT,RESIDENCE,False,False,613,6,21.0,71,11,1168835.0,1847549.0,2021,04/12/2021 05:33:53 PM,41.737191479,-87.657021997,"(41.737191479, -87.657021997)"
19134,27723,12305151,JE156762,03/01/2021 01:00:00 PM,051XX S PRAIRIE AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False,231,2,3.0,40,14,1178912.0,1871042.0,2021,03/08/2021 03:55:51 PM,41.801435519,-87.619388535,"(41.801435519, -87.619388535)"
8207,12168,12278498,JE122679,01/25/2021 09:37:00 AM,083XX S MAY ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,True,True,613,6,21.0,71,08B,1170108.0,1849411.0,2021,02/01/2021 03:48:35 PM,41.74227352,-87.65230411299999,"(41.74227352, -87.652304113)"
11194,16275,12288140,JE132669,02/04/2021 06:45:00 PM,043XX W DIVISION ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,VEHICLE NON-COMMERCIAL,False,True,1111,11,37.0,23,08B,1147139.0,1907641.0,2021,02/11/2021 03:47:49 PM,41.902533015,-87.73497758299999,"(41.902533015, -87.734977583)"
24411,35481,12316208,JE170113,03/16/2021 12:20:00 AM,006XX N LOREL AVE,0560,ASSAULT,SIMPLE,ALLEY,False,True,1524,15,37.0,25,08A,1140564.0,1903692.0,2021,03/23/2021 05:03:34 PM,41.891819793,-87.75922602899999,"(41.891819793, -87.759226029)"
3958,5966,12268371,JE111334,01/13/2021 07:30:00 AM,050XX W DIVISION ST,0560,ASSAULT,SIMPLE,CONVENIENCE STORE,False,False,1531,15,37.0,25,08A,1142328.0,1907517.0,2021,01/20/2021 03:53:42 PM,41.902283468,-87.75265248299999,"(41.902283468, -87.752652483)"
4454,6687,12270316,JE113419,01/15/2021 11:44:00 AM,051XX W WASHINGTON BLVD,041A,BATTERY,AGGRAVATED - HANDGUN,STREET,False,False,1533,15,28.0,25,04B,1141906.0,1900000.0,2021,01/22/2021 03:48:10 PM,41.881663748,-87.75438887600001,"(41.881663748, -87.754388876)"
4924,7352,12270845,JE114362,01/16/2021 10:00:00 AM,010XX N TRUMBULL AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,False,False,1121,11,27.0,23,14,1153184.0,1906713.0,2021,01/23/2021 03:54:52 PM,41.899868647,-87.71279779700001,"(41.899868647, -87.712797797)"
21394,31050,12310143,JE162769,03/08/2021 01:00:00 PM,052XX W FULLERTON AVE,1152,DECEPTIVE PRACTICE,ILLEGAL USE CASH CARD,BANK,False,False,2515,25,31.0,19,11,1141240.0,1915461.0,2021,03/15/2021 04:48:08 PM,41.924102822,-87.756452662,"(41.924102822, -87.756452662)"
29202,42478,12328163,JE184702,03/30/2021 05:20:00 PM,009XX W FULTON MARKET,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False,1214,12,27.0,28,14,1170191.0,1902066.0,2021,04/06/2021 05:03:58 PM,41.886762429,-87.65046689399999,"(41.886762429, -87.650466894)"
22754,33089,12313129,JE166333,03/11/2021 06:45:00 PM,077XX S EAST END AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,True,414,4,8.0,43,08B,1188880.0,1853993.0,2021,03/18/2021 04:52:21 PM,41.7544187,-87.58337799799999,"(41.7544187, -87.583377998)"
12130,17613,12288006,JE135172,02/07/2021 05:00:00 AM,028XX S SPAULDING AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,VACANT LOT / LAND,False,False,1032,10,22.0,30,14,1154824.0,1885021.0,2021,02/14/2021 03:47:33 PM,41.840310782,-87.707355048,"(41.840310782, -87.707355048)"
29108,42356,12327652,JE183837,03/30/2021 01:47:00 AM,089XX S ESSEX AVE,0454,BATTERY,"AGGRAVATED P.O. - HANDS, FISTS, FEET, NO / MINOR INJURY",RESIDENCE,True,True,423,4,7.0,48,08B,1194384.0,1846162.0,2021,04/06/2021 05:03:58 PM,41.732796358,-87.563464685,"(41.732796358, -87.563464685)"
24642,35806,12317761,JE171888,03/17/2021 01:30:00 PM,005XX W 103RD ST,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,RESIDENCE,False,False,2232,22,9.0,73,11,1174322.0,1836587.0,2021,03/24/2021 05:06:10 PM,41.70699015,-87.63724401700001,"(41.70699015, -87.637244017)"
28441,41371,12326701,JE182770,03/28/2021 07:00:00 AM,0000X W OAK ST,0890,THEFT,FROM BUILDING,NURSING / RETIREMENT HOME,False,False,1824,18,2.0,8,06,1175568.0,1907139.0,2021,04/04/2021 05:01:16 PM,41.900563895,-87.630568743,"(41.900563895, -87.630568743)"
16342,23698,12298967,JE149367,02/22/2021 10:40:00 PM,069XX S NORMAL BLVD,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,False,True,732,7,6.0,68,08B,1174146.0,1858939.0,2021,03/01/2021 03:46:28 PM,41.768330876,-87.63722646299999,"(41.768330876, -87.637226463)"
30129,43817,12332626,JE190212,04/02/2021 07:30:00 PM,046XX S MICHIGAN AVE,0497,BATTERY,AGGRAVATED DOMESTIC BATTERY - OTHER DANGEROUS WEAPON,APARTMENT,False,True,215,2,3.0,38,04B,1177936.0,1874330.0,2021,04/09/2021 05:06:35 PM,41.810480277,-87.622868181,"(41.810480277, -87.622868181)"
14476,21021,12294482,JE143582,02/16/2021 07:00:00 PM,037XX N SHEFFIELD AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False,1923,19,44.0,6,14,1168934.0,1925113.0,2021,02/23/2021 03:48:18 PM,41.950032011,-87.654412884,"(41.950032011, -87.654412884)"
20906,30322,12308228,JE160520,03/06/2021 12:01:00 AM,013XX N MASSASOIT AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False,2531,25,29.0,25,14,1137768.0,1908349.0,2021,03/13/2021 03:51:08 PM,41.904650055,-87.76938221799999,"(41.904650055, -87.769382218)"
9231,13529,12280127,JE125246,01/28/2021 02:45:00 AM,071XX S PAXTON AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,False,True,333,3,5.0,43,08B,1192121.0,1858128.0,2021,02/04/2021 03:52:02 PM,41.765687332,-87.57136673,"(41.765687332, -87.57136673)"
17620,25525,12305509,JE156772,02/25/2021 09:15:00 AM,078XX S KINGSTON AVE,0820,THEFT,$500 AND UNDER,APARTMENT,False,False,421,4,7.0,43,06,1194548.0,1853543.0,2021,03/04/2021 03:52:04 PM,41.753046407,-87.562621715,"(41.753046407, -87.562621715)"
29561,42997,12333948,JE191577,01/15/2021 12:00:00 AM,017XX W BERWYN AVE,0820,THEFT,$500 AND UNDER,APARTMENT,False,False,2012,20,40.0,77,06,1163830.0,1935247.0,2021,04/09/2021 05:03:06 PM,41.977949555,-87.672887443,"(41.977949555, -87.672887443)"
33401,48657,12341151,JE199849,04/12/2021 06:00:00 PM,041XX S ROCKWELL ST,0810,THEFT,OVER $500,STREET,False,False,921,9,12.0,58,06,1159723.0,1876934.0,2021,04/19/2021 05:20:48 PM,41.818019726,-87.689599981,"(41.818019726, -87.689599981)"
2361,3540,12262846,JE105185,01/06/2021 03:30:00 PM,018XX N LUNA AVE,1154,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,RESIDENCE,False,False,2532,25,37.0,25,11,1139109.0,1911642.0,2021,01/16/2021 03:49:23 PM,41.913662133,-87.76437602799999,"(41.913662133, -87.764376028)"
20722,30065,12309285,JE160996,03/06/2021 02:39:00 PM,002XX E 132ND ST,0460,BATTERY,SIMPLE,APARTMENT,False,True,533,5,9.0,54,08B,1180168.0,1817915.0,2021,03/13/2021 03:51:08 PM,41.655619791,-87.616405128,"(41.655619791, -87.616405128)"
1940,2901,12264853,JE107435,01/08/2021 09:45:00 PM,083XX S EXCHANGE AVE,0460,BATTERY,SIMPLE,GAS STATION,True,False,423,4,7.0,46,08B,1197316.0,1850435.0,2021,01/16/2021 03:49:23 PM,41.744449336,-87.55258164700001,"(41.744449336, -87.552581647)"
